   ---   JI Notation Bound Class Analyses   ---


       	       	       	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	actual 	initial	a.b.c.
       	       	       	lesser  	greater 	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	bound  	comma  	vs
bound  	lesser 	greater	extreme 	extreme 	medium 	high   	ultra  	extreme	       	medium 	high   	ultra  	extreme	overall	medium 	high   	ultra  	extreme	overall	class  	mean   	i.c.m.
class  	mina   	mina   	comma   	comma   	level  	level  	level  	level  	overall	dstance	dstance	dstance	dstance	dstance	ina-dst	ina-dst	ina-dst	ina-dst	ina-dst	pos    	pos    	error
ID     	name   	name   	class   	class   	rank   	rank   	rank   	rank   	rank   	moved  	moved  	moved  	moved  	moved  	moved  	moved  	moved  	moved  	moved  	(¢)    	(¢)    	(tinas)

102    	 98    	 99    	  ,,/|) 	   ,/|) 	       	       	       	  1    	  1    	       	       	       	  0.070	  0.070	       	       	       	  0.498	  0.498	 48.130	 48.143	 -0.091
103    	 99    	100    	   ,/|) 	    /|) 	       	       	       	  1    	  1    	       	       	       	  0.004	  0.004	       	       	       	  0.026	  0.026	 48.552	 48.559	 -0.053
104    	100    	101    	    /|) 	   `/|) 	       	       	       	  1    	  1    	       	       	       	  0.063	  0.063	       	       	       	  0.446	  0.446	 48.973	 48.968	  0.034
105    	101    	102    	   `/|) 	    (|~ 	       	  1    	  2    	  1    	  2    	       	  0.253	  0.191	  0.011	  0.456	       	  0.129	  0.392	  0.082	  0.602	 49.535	 49.333	  1.441
106    	102    	103    	    (|~ 	  ,'/|) 	       	       	  1    	  1    	  1    	       	       	  0.029	  0.055	  0.084	       	       	  0.060	  0.391	  0.451	 49.957	 50.310	 -2.510
107    	103    	104    	  ,'/|) 	   '/|) 	       	       	       	  1    	  1    	       	       	       	  0.019	  0.019	       	       	       	  0.137	  0.137	 50.519	 50.513	  0.044
108    	104    	105    	   '/|) 	  `'/|) 	       	       	       	  1    	  1    	       	       	       	  0.047	  0.047	       	       	       	  0.335	  0.335	 50.940	 50.922	  0.131
109    	105    	105.572	  `'/|) 	   ./|\ 	  1    	       	  2    	  2    	  2    	  0.407	       	  0.198	  0.000	  0.605	  0.208	       	  0.406	  0.000	  0.613	 51.220	 51.022	  1.408
110    	105.572	106    	   ./|\ 	  `./|\ 	       	       	       	  1    	  1    	       	       	       	  0.027	  0.027	       	       	       	  0.193	  0.193	 51.503	 51.501	  0.012
111    	106    	107    	  `./|\ 	  ,,/|\ 	       	  1    	  1    	  1    	  1    	       	  0.063	  0.021	  0.039	  0.123	       	  0.032	  0.043	  0.279	  0.354	 51.924	 51.584	  2.421
112    	107    	108    	  ,,/|\ 	   ,/|\ 	       	       	       	  1    	  1    	       	       	       	  0.035	  0.035	       	       	       	  0.249	  0.249	 52.486	 52.437	  0.347
113    	108    	109    	   ,/|\ 	    /|\ 	       	       	       	  1    	  1    	       	       	       	  0.031	  0.031	       	       	       	  0.223	  0.223	 52.908	 52.987	 -0.562
114    	109    	110    	    /|\ 	   `/|\ 	       	       	       	  1    	  1    	       	       	       	  0.043	  0.043	       	       	       	  0.305	  0.305	 53.470	 53.455	  0.109
115    	110    	111    	   `/|\ 	  ,(/|  	       	  1    	  1    	  1    	  1    	       	  0.521	  0.013	  0.024	  0.557	       	  0.266	  0.026	  0.167	  0.459	 53.891	 53.901	 -0.065
116    	111    	112    	  ,(/|  	   (/|  	       	       	       	  1    	  1    	       	       	       	  0.051	  0.051	       	       	       	  0.361	  0.361	 54.454	 54.317	  0.973
117    	112    	113    	   (/|  	  `(/|  	       	       	       	  1    	  1    	       	       	       	  0.016	  0.016	       	       	       	  0.112	  0.112	 54.875	 54.746	  0.917
118    	113    	113.452	  `(/|  	   '/|\ 	       	       	  2    	  2    	  2    	       	       	  0.218	  0.000	  0.218	       	       	  0.447	  0.000	  0.447	 55.096	 54.877	  1.552
119    	113.452	114    	   '/|\ 	  `'/|\ 	       	       	       	  1    	  1    	       	       	       	  0.059	  0.059	       	       	       	  0.416	  0.416	 55.437	 55.438	 -0.005
120    	114    	115    	  `'/|\ 	  ,)/|\ 	       	  2    	  1    	  1    	  2    	       	  0.357	  0.004	  0.008	  0.369	       	  0.182	  0.009	  0.056	  0.247	 55.859	 55.505	  2.518
121    	115    	116    	  ,)/|\ 	   )/|\ 	       	       	       	  1    	  1    	       	       	       	  0.066	  0.066	       	       	       	  0.472	  0.472	 56.421	 56.333	  0.622
122    	116    	       	   )/|\ 	        	  1    	  1    	  3    	  1    	  3    	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	 56.843	 56.843	  0.000


   ---   JI Notation Level Analyses   ---


Extreme            	here   	cumulative
ina midpoint       	116    	 99
comma mean         	  6    	 22
size category bound	  1    	  2

Ultra              	here   	cumulative
ina midpoint       	 28    	 24
comma mean         	 17    	 21
size category bound	  2    	  2

High               	here   	cumulative
ina midpoint       	 21    	 21
comma mean         	  5    	  5
size category bound	  1    	  1

Medium             	here   	cumulative
ina midpoint       	 10    	 10
size category bound	  1    	  1


   ---   Rank Analyses   ---


ina midpoint event was worst-ranked bound class event:
	total: 99 bounds
	bounds: 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 32, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 48, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 98, 99, 100, 101, 102, 103, 104, 106, 107, 108, 110, 111, 112, 113, 114, 115, 116, 117, 119, 121

comma mean event was worst-ranked bound class event:
	total: 22 bounds
	bounds: 3, 13, 16, 18, 24, 31, 35, 40, 47, 49, 52, 65, 66, 74, 79, 80, 81, 85, 105, 109, 118, 120

size category bound event was worst-ranked bound class event:
	total: 2 bounds
	bounds: 96, 122
